surah,ayah,verb_word,verb_location,verb_arabic,target_word,target_form_arabic,target_form_bw,target_roots_bw,target_lemmas_bw,category,qac_segments,context_arabic,full_verse_uthmani
2,3,2,2:3:2,يُؤْمِنُونَ,3,بِٱلْغَيْبِ,bi{logayobi,gyb,gayob,explicit_unseen,bi[P|PREFIX|bi+] ; {lo[DET|PREFIX|Al+] ; gayobi[N|STEM|POS:N|LEM:gayob|ROOT:gyb|M|GEN],ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ
2,4,2,2:4:2,يُؤْمِنُونَ,3,بِمَا^,bimaA^,,maA,relative_or_clause_head,bi[P|PREFIX|bi+] ; maA^[REL|STEM|POS:REL|LEM:maA],وَٱلَّذِينَ يُؤْمِنُونَ بِمَا^ أُنزِلَ إِلَيْكَ وَمَا^,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْـَٔاخِرَةِ هُمْ يُوقِنُونَ
2,8,5,2:8:5,ءَامَنَّا,6,بِٱللَّهِ,bi{ll~ahi,Alh,{ll~ah,explicit_allah,bi[P|PREFIX|bi+] ; {ll~ahi[PN|STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN],وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْـَٔاخِرِ وَمَا هُم بِمُؤْمِنِينَ
2,41,1,2:41:1,وَءَامِنُوا@,2,بِمَا^,bimaA^,,maA,relative_or_clause_head,bi[P|PREFIX|bi+] ; maA^[REL|STEM|POS:REL|LEM:maA],وَءَامِنُوا@ بِمَا^ أَنزَلْتُ مُصَدِّقًا لِّمَا,وَءَامِنُوا۟ بِمَآ أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوٓا۟ أَوَّلَ كَافِرٍۭ بِهِۦ وَلَا تَشْتَرُوا۟ بِـَٔايَٰتِى ثَمَنًا قَلِيلًا وَإِيَّٰىَ فَٱتَّقُونِ
2,62,9,2:62:9,ءَامَنَ,10,بِٱللَّهِ,bi{ll~ahi,Alh,{ll~ah,explicit_allah,bi[P|PREFIX|bi+] ; {ll~ahi[PN|STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN],هَادُوا@ وَٱلنَّصَٰرَىٰ وَٱلصَّٰبِـ#ِينَ مَنْ ءَامَنَ بِٱللَّهِ وَٱلْيَوْمِ ٱلْءَاخِرِ وَعَمِلَ,إِنَّ ٱلَّذِينَ ءَامَنُوا۟ وَٱلَّذِينَ هَادُوا۟ وَٱلنَّصَٰرَىٰ وَٱلصَّٰبِـِٔينَ مَنْ ءَامَنَ بِٱللَّهِ وَٱلْيَوْمِ ٱلْـَٔاخِرِ وَعَمِلَ صَٰلِحًا فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ
2,85,23,2:85:23,أَفَتُؤْمِنُونَ,24,بِبَعْضِ,bibaEoDi,bED,baEoD,explicit_other_lexical,bi[P|PREFIX|bi+] ; baEoDi[N|STEM|POS:N|LEM:baEoD|ROOT:bED|M|GEN],وَهُوَ مُحَرَّمٌ عَلَيْكُمْ إِخْرَاجُهُمْ أَفَتُؤْمِنُونَ بِبَعْضِ ٱلْكِتَٰبِ وَتَكْفُرُونَ بِبَعْضٍ,ثُمَّ أَنتُمْ هَٰٓؤُلَآءِ تَقْتُلُونَ أَنفُسَكُمْ وَتُخْرِجُونَ فَرِيقًا مِّنكُم مِّن دِيَٰرِهِمْ تَظَٰهَرُونَ عَلَيْهِم بِٱلْإِثْمِ وَٱلْعُدْوَٰنِ وَإِن يَأْتُوكُمْ أُسَٰرَىٰ تُفَٰدُوهُمْ وَهُوَ مُحَرَّمٌ عَلَيْكُمْ إِخْرَاجُهُمْ أَفَتُؤْمِنُونَ بِبَعْضِ ٱلْكِتَٰبِ وَتَكْفُرُونَ بِبَعْضٍ فَمَا جَزَآءُ مَن يَفْعَلُ ذَٰلِكَ مِنكُمْ إِلَّا خِزْىٌ فِى ٱلْحَيَوٰةِ ٱلدُّنْيَا وَيَوْمَ ٱلْقِيَٰمَةِ يُرَدُّونَ إِلَىٰٓ أَشَدِّ ٱلْعَذَابِ وَمَا ٱللَّهُ بِغَٰفِلٍ عَمَّا تَعْمَلُونَ
2,91,4,2:91:4,ءَامِنُوا@,5,بِمَا^,bimaA^,,maA,relative_or_clause_head,bi[P|PREFIX|bi+] ; maA^[REL|STEM|POS:REL|LEM:maA],وَإِذَا قِيلَ لَهُمْ ءَامِنُوا@ بِمَا^ أَنزَلَ ٱللَّهُ قَالُوا@,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ بِمَآ أَنزَلَ ٱللَّهُ قَالُوا۟ نُؤْمِنُ بِمَآ أُنزِلَ عَلَيْنَا وَيَكْفُرُونَ بِمَا وَرَآءَهُۥ وَهُوَ ٱلْحَقُّ مُصَدِّقًا لِّمَا مَعَهُمْ قُلْ فَلِمَ تَقْتُلُونَ أَنۢبِيَآءَ ٱللَّهِ مِن قَبْلُ إِن كُنتُم مُّؤْمِنِينَ
2,91,9,2:91:9,نُؤْمِنُ,10,بِمَا^,bimaA^,,maA,relative_or_clause_head,bi[P|PREFIX|bi+] ; maA^[REL|STEM|POS:REL|LEM:maA],بِمَا^ أَنزَلَ ٱللَّهُ قَالُوا@ نُؤْمِنُ بِمَا^ أُنزِلَ عَلَيْنَا وَيَكْفُرُونَ,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ بِمَآ أَنزَلَ ٱللَّهُ قَالُوا۟ نُؤْمِنُ بِمَآ أُنزِلَ عَلَيْنَا وَيَكْفُرُونَ بِمَا وَرَآءَهُۥ وَهُوَ ٱلْحَقُّ مُصَدِّقًا لِّمَا مَعَهُمْ قُلْ فَلِمَ تَقْتُلُونَ أَنۢبِيَآءَ ٱللَّهِ مِن قَبْلُ إِن كُنتُم مُّؤْمِنِينَ
2,121,8,2:121:8,يُؤْمِنُونَ,9,بِهِ.,bihi.,,,pronominal_unresolved,bi[P|PREFIX|bi+] ; hi.[PRON|STEM|POS:PRON|3MS],"يَتْلُونَهُ, حَقَّ تِلَاوَتِهِ.^ أُو@لَٰ^ئِكَ يُؤْمِنُونَ بِهِ. وَمَن يَكْفُرْ بِهِ.",ٱلَّذِينَ ءَاتَيْنَٰهُمُ ٱلْكِتَٰبَ يَتْلُونَهُۥ حَقَّ تِلَاوَتِهِۦٓ أُو۟لَٰٓئِكَ يُؤْمِنُونَ بِهِۦ وَمَن يَكْفُرْ بِهِۦ فَأُو۟لَٰٓئِكَ هُمُ ٱلْخَٰسِرُونَ
2,136,2,2:136:2,ءَامَنَّا,3,بِٱللَّهِ,bi{ll~ahi,Alh,{ll~ah,explicit_allah,bi[P|PREFIX|bi+] ; {ll~ahi[PN|STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN],قُولُو^ا@ ءَامَنَّا بِٱللَّهِ وَمَا^ أُنزِلَ إِلَيْنَا,قُولُوٓا۟ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ إِلَيْنَا وَمَآ أُنزِلَ إِلَىٰٓ إِبْرَٰهِـۧمَ وَإِسْمَٰعِيلَ وَإِسْحَٰقَ وَيَعْقُوبَ وَٱلْأَسْبَاطِ وَمَآ أُوتِىَ مُوسَىٰ وَعِيسَىٰ وَمَآ أُوتِىَ ٱلنَّبِيُّونَ مِن رَّبِّهِمْ لَا نُفَرِّقُ بَيْنَ أَحَدٍ مِّنْهُمْ وَنَحْنُ لَهُۥ مُسْلِمُونَ
